Data,TableID,Year,TransactionType,AssetType,Series,Value
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,TaxExemptBondMutualFunds,SalesPrice,15706646.596900001
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,TaxExemptBondMutualFunds,Basis,15643336.640500002
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Number,4834.90668
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PartnershipSCorporationAndEstateOrTrustInterests,SalesPrice,134611252.2367
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Basis,86074031.3098
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PartnershipSCorporationAndEstateOrTrustInterests,NetGainloss,49145133.60734
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Number,2651.01879
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PartnershipSCorporationAndEstateOrTrustInterests,SalesPrice,99249215.6
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Basis,41767459.641
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Gain,58928225.338
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Number,2001.62701
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PartnershipSCorporationAndEstateOrTrustInterests,SalesPrice,28156176.705
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Basis,37619692.037
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PartnershipSCorporationAndEstateOrTrustInterests,Loss,9783091.73
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,PartnershipSCorporationAndEstateOrTrustInterests,Number,182.26088
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,PartnershipSCorporationAndEstateOrTrustInterests,SalesPrice,7205859.927099999
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,PartnershipSCorporationAndEstateOrTrustInterests,Basis,6686879.6317
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Livestock,Number,718.66578
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Livestock,SalesPrice,4850612.01283
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Livestock,Basis,1707739.71044
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Livestock,NetGainloss,2411515.49782
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Livestock,Number,398.91348
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Livestock,SalesPrice,3697192.4220700003
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Livestock,Basis,708577.16024
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Livestock,Gain,2748593.91054
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Livestock,Number,130.36427
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Livestock,SalesPrice,311921.93134
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Livestock,Basis,643569.0970600001
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Livestock,Loss,337078.4127
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Livestock,Number,189.38803
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Livestock,SalesPrice,841497.6594400001
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Livestock,Basis,355593.4531
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Timber,Number,94.41843
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Timber,SalesPrice,2415536.37407
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Timber,Basis,1017971.5678999999
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Timber,NetGainloss,1366930.57675
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Timber,Number,80.00734
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Timber,SalesPrice,2187127.70472
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Timber,Basis,763466.8786299999
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Timber,Gain,1425844.14759
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Timber,Number,8.90129
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Timber,SalesPrice,38936.9309
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Timber,Basis,97790.48297
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Timber,Loss,58913.57087
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Timber,Number,5.5098
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Timber,SalesPrice,189471.73842
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Timber,Basis,156714.2063
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,InvoluntaryConversions,Number,296.84939
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,InvoluntaryConversions,SalesPrice,911104.52062
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,InvoluntaryConversions,Basis,215691.38165
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,InvoluntaryConversions,NetGainloss,256901.55044999998
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,InvoluntaryConversions,Number,27.68806
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,InvoluntaryConversions,SalesPrice,773341.21898
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,InvoluntaryConversions,Basis,211990.88598999998
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,InvoluntaryConversions,Gain,562435.90378
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,InvoluntaryConversions,Number,44.02945
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,InvoluntaryConversions,SalesPrice,26467.195620000002
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,InvoluntaryConversions,Basis,-100954.4655
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,InvoluntaryConversions,Loss,305534.35336
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,InvoluntaryConversions,Number,225.13188
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,InvoluntaryConversions,SalesPrice,111296.10602
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,InvoluntaryConversions,Basis,104654.96116
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,ResidentialRentalProperty,Number,1303.85205
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,ResidentialRentalProperty,SalesPrice,205378640.8975
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,ResidentialRentalProperty,Basis,156244067.3862
