Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,TimeHeld,Series,Value
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,5 years under 10 years,Basis,51386703.29
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,5 years under 10 years,Loss,17313131.57
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,10 years under 15 years,NumberOfTransactions,2559.79596
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,10 years under 15 years,SalesPrice,88902795.86
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,10 years under 15 years,Basis,40426915.55
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,10 years under 15 years,Gain,39721639.81
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,10 years under 15 years,NumberOfTransactions,692.8415
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,10 years under 15 years,SalesPrice,5868188.505
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,10 years under 15 years,Basis,8876669.597
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,10 years under 15 years,Loss,3008369.45
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,15 years under 20 years,NumberOfTransactions,962.92423
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,15 years under 20 years,SalesPrice,52726174.78
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,15 years under 20 years,Basis,22106435.74
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,15 years under 20 years,Gain,25432735.45
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,15 years under 20 years,NumberOfTransactions,149.99488
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,15 years under 20 years,SalesPrice,2290046.973
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,15 years under 20 years,Basis,3905437.676
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,15 years under 20 years,Loss,1615050.108
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,20 years or more,NumberOfTransactions,1333.95921
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,20 years or more,SalesPrice,101650955.4
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,20 years or more,Basis,29632304.63
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,20 years or more,Gain,62092677
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,20 years or more,NumberOfTransactions,125.19071
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,20 years or more,SalesPrice,2381607.657
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,20 years or more,Basis,3559990.804
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,20 years or more,Loss,1200398.627
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Holding period not determinable,NumberOfTransactions,22220.46806
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Holding period not determinable,SalesPrice,201701067.7
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Holding period not determinable,Basis,135407136.5
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Holding period not determinable,Gain,503001265.4
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Holding period not determinable,NumberOfTransactions,2060.46687
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Holding period not determinable,SalesPrice,44601238.84
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Holding period not determinable,Basis,54675666.45
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Holding period not determinable,Loss,23042505.85
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,NumberOfTransactions,60241.03182
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,SalesPrice,1105388809
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,Basis,1058145771
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,Gain,48806844.68
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,NumberOfTransactions,42704.59359
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,SalesPrice,766966956.1
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,Basis,809288490.8
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,Loss,44197026.09
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,Under 1 month,NumberOfTransactions,16624.55209
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,Under 1 month,SalesPrice,313390429.1
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,Under 1 month,Basis,302363706.6
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,Under 1 month,Gain,12123424.34
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,Under 1 month,NumberOfTransactions,10692.61848
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,Under 1 month,SalesPrice,210812132.9
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,Under 1 month,Basis,218511268.3
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,Under 1 month,Loss,9236004.041
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,1 month under 2 months,NumberOfTransactions,4700.04836
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,1 month under 2 months,SalesPrice,43581569.9
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,1 month under 2 months,Basis,40064711
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,1 month under 2 months,Gain,3629882.705
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,1 month under 2 months,NumberOfTransactions,3963.07543
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,1 month under 2 months,SalesPrice,30964647.22
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,1 month under 2 months,Basis,34950507.9
SOIIndividual,Table4B,2007,ShortTerm,LossTransaction,CorporateStock,1 month under 2 months,Loss,3985014.582
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,2 months under 3 months,NumberOfTransactions,3724.42624
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,2 months under 3 months,SalesPrice,28634955.05
SOIIndividual,Table4B,2007,ShortTerm,GainTransaction,CorporateStock,2 months under 3 months,Basis,25642531.65
